genres,movie_id,original_title,plot,cast
"['Drama', 'Thriller', 'History']",314365,Spotlight,"The true story of how The Boston Globe uncovered the massive scandal of child abuse and the cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber', 'John Slattery', 'Stanley Tucci']"
"['Drama', 'Crime', 'Thriller']",13279,Lakeview Terrace,"A young interracial couple has just moved into their California dream home when they become the target of their next-door neighbor, who disapproves of their relationship. A tightly wound LAPD officer has appointed himself the watchdog of the neighborhood. His nightly foot patrols and overly watchful eyes bring comfort to some, but he becomes increasingly aggressive to the newlyweds. These persistent intrusions into their lives cause the couple to fight back.","['Samuel L. Jackson', 'Patrick Wilson', 'Kerry Washington', 'Ron Glass', 'Justin Chambers', 'Jay Hernandez']"
"['Horror', 'Thriller']",1975,The Grudge 2,"In Tokyo, a young woman is exposed to the same mysterious curse that afflicted her sister. The supernatural force, which fills a person with rage before spreading to its next victim, brings together a group of previously unrelated people who attempt to unlock its secret to save their lives.","['Sarah Michelle Gellar', 'Amber Tamblyn', 'Edison Chen', 'Arielle Kebbel', 'Jennifer Beals', 'Teresa Palmer']"
"['Comedy', 'Drama', 'Romance']",33644,How Stella Got Her Groove Back,"Through good times and bad, Stella and Delilah have always had each other. Now, Stella's so busy building a life that she's forgotten how to really live. But Delilah is about to change all that. What starts as a quick trip to Jamaica, end as an exhilarating voyage of self discovery as Stella learns to open her heart and find love - even if it's with a man 20 years her junior.","['Angela Bassett', 'Taye Diggs', 'Whoopi Goldberg', 'Regina King', 'Suzzanne Douglas', 'Michael J. Pagan']"
"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",1649,Bill & Ted's Bogus Journey,"Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living.","['Keanu Reeves', 'Alex Winter', 'George Carlin', 'William Sadler', 'Joss Ackland', 'Pam Grier']"
"['Comedy', 'Drama', 'Romance', 'Thriller']",9895,Man of the Year,"The irreverent host of a political satire talk show decides to run for president and expose corruption in Washington. His stunt goes further than he expects when he actually wins the election, but a software engineer suspects that a computer glitch is responsible for his surprising victory.","['Robin Williams', 'Christopher Walken', 'Laura Linney', 'Lewis Black', 'Jeff Goldblum', 'Tina Fey']"
"['Adventure', 'Family', 'Science Fiction', 'Action']",9570,The Black Hole,"The explorer craft U.S.S. Palomino is returning to Earth after a fruitless 18-month search for extra-terrestrial life when the crew comes upon a supposedly lost ship, the magnificent U.S.S. Cygnus, hovering near a black hole. The ship is controlled by Dr. Hans Reinhardt and his monstrous robot companion, Maximillian. But the initial wonderment and awe the Palomino crew feel for the ship and its resistance to the power of the black hole turn to horror as they uncover Reinhardt's plans.","['Maximilian Schell', 'Anthony Perkins', 'Robert Forster', 'Joseph Bottoms', 'Ernest Borgnine', 'Yvette Mimieux']"
"['Crime', 'Drama', 'Thriller']",27579,The American,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him.","['George Clooney', 'Violante Placido', 'Thekla Reuten', 'Paolo Bonacelli', 'Johan Leysen', 'Irina Björklund']"
['Drama'],16052,Selena,"In this biographical drama, Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with her at small venues. She finds success and falls for her guitarist, Chris Perez, who draws the ire of her father. Seeking mainstream stardom, Selena begins recording an English-language album which, tragically, she would never complete.","['Jennifer Lopez', 'Edward James Olmos', 'Constance Marie', 'Jon Seda', 'Lupe Ontiveros', 'Jackie Guerra']"
"['Horror', 'Comedy']",40264,Vampires Suck,"Becca, an anxious, non-vampire teen is torn between two boys. Before she can choose, Becca must get around her controlling father, who embarrasses Becca by treating her like a child. Meanwhile, Becca's friends contend with their own romantic issues - all of which collide at the prom.","['Chris Riggi', 'Matt Lanter', 'Jenn Proske', 'Ken Jeong', 'Bradley Dodds', 'Kelsey Ford']"
